Date,Bankroll,Strategy
2020-06-17,-24957.587633302926,flat
2020-06-19,-25057.587633302926,flat
2020-06-19,-24953.320320272433,flat
2020-06-19,-25053.320320272433,flat
2020-06-19,-25153.320320272433,flat
2020-06-20,-25253.320320272433,flat
2020-06-20,-25353.320320272433,flat
2020-06-20,-25453.320320272433,flat
2020-06-20,-25359.69751285976,flat
2020-06-20,-25459.69751285976,flat
2020-06-20,-25363.315544542078,flat
2020-06-21,-25463.315544542078,flat
2020-06-21,-25350.065050096866,flat
2020-06-21,-25450.065050096866,flat
2020-06-21,-25392.168310466044,flat
2020-06-22,-25351.490070219734,flat
2020-06-23,-25451.490070219734,flat
2020-06-23,-25390.969550518406,flat
2020-06-24,-25322.950002089332,flat
